Date,Description,Amount
2026-01-01,Salary Credit,50000
2026-01-02,Swiggy Food Order,-550
2026-01-03,Electricity Bill,-1400
2026-01-04,Amazon Shopping,-3200
2026-01-05,Uber Travel,-450
2026-01-06,School Fees,-6000
2026-01-07,Medical Pharmacy,-900
2026-01-08,Zomato Food Order,-700
2026-01-09,Rent Payment,-10000
2026-01-10,Water Bill,-600
2026-01-11,Petrol Fuel,-1800
2026-01-12,Hospital Medical,-2500
2026-01-13,Flipkart Shopping,-4000
2026-01-14,Salary Bonus,8000
2026-01-15,Grocery Store Food,-3000
2026-01-16,Netflix Subscription,-499
2026-01-17,Phone Bill Utility,-999
2026-01-18,College Fees Education,-9000
2026-01-19,Ola Travel,-300
2026-01-20,Pharmacy Medical,-1500
2026-01-21,Myntra Shopping,-2500
2026-01-22,Restaurant Food,-850
2026-01-23,Electricity Bill,-1300
2026-01-24,Salary Credit,50000
2026-01-25,Amazon Shopping,-5000
2026-01-26,Uber Travel,-500
2026-01-27,Medical Hospital,-3500
2026-01-28,Grocery Food,-2000
2026-01-29,Petrol Fuel,-1200
2026-01-30,Shopping Mall,-3500
2026-01-31,Restaurant Food,-950
